pulsep,pulsen,thrust_N,torque_Nm
1060,1060,0.0304,-0.00025
1060,1080,0.0333,-0.001371
1060,1100,0.0663,-0.002558
1060,1120,0.1213,-0.003689
1060,1140,0.1718,-0.004854
1060,1160,0.174,-0.006562
1060,1180,0.307,-0.008733
1060,1200,0.4336,-0.010296
1060,1220,0.4953,-0.012394
1060,1240,0.5893,-0.01469
1060,1260,0.6643,-0.016588
1060,1280,0.798,-0.019193
1060,1300,0.9163,-0.021863
1060,1320,0.9593,-0.025031
1060,1340,1.1262,-0.028189
1060,1360,1.2148,-0.030932
1060,1380,1.2675,-0.033442
1060,1400,1.4268,-0.037203
1060,1420,1.6051,-0.040696
1060,1440,1.6972,-0.043157
1060,1460,1.7512,-0.046105
1060,1480,2.1798,-0.051757
1060,1500,2.2444,-0.048823
1060,1520,1.976,-0.051907
1060,1540,2.1216,-0.055221
1060,1560,2.9657,-0.066619
1060,1580,2.6946,-0.066133
1060,1600,2.8511,-0.0706
1060,1620,2.7904,-0.083881
1060,1640,3.5309,-0.083258
1060,1660,3.5688,-0.089214
1060,1680,3.3885,-0.090881
1060,1700,4.0015,-0.10298
1060,1720,4.4391,-0.114982
1060,1740,4.6232,-0.108064
1060,1760,4.681,-0.121162
1060,1780,5.2917,-0.115969
1060,1800,4.7108,-0.131564
1080,1060,0.0482,0.000983
1080,1080,0.0452,-0.000714
1080,1100,0.0893,-0.002358
1080,1120,0.1502,-0.003391
1080,1140,0.1987,-0.005135
1080,1160,0.1813,-0.006442
1080,1180,0.3574,-0.009164
1080,1200,0.4466,-0.010761
1080,1220,0.5493,-0.012131
1080,1240,0.6229,-0.014773
1080,1260,0.708,-0.017151
1080,1280,0.8212,-0.019289
1080,1300,0.9802,-0.022127
1080,1320,0.9999,-0.025681
1080,1340,1.1476,-0.028072
1080,1360,1.2295,-0.030924
1080,1380,1.3291,-0.034527
1080,1400,1.5193,-0.037808
1080,1420,1.6264,-0.041477
1080,1440,1.7959,-0.043729
1080,1460,1.7924,-0.046401
1080,1480,2.2352,-0.05062
1080,1500,2.0875,-0.052437
1080,1520,2.2939,-0.052927
1080,1540,2.4455,-0.056088
1080,1560,3.1374,-0.065476
1080,1580,2.682,-0.067457
1080,1600,3.1727,-0.070497
1080,1620,2.7571,-0.082159
1080,1640,3.3951,-0.083715
1080,1660,3.0566,-0.087532
1080,1680,3.5043,-0.090299
1080,1700,3.7897,-0.099563
1080,1720,4.3655,-0.110294
1080,1740,4.6379,-0.107855
1080,1760,4.8625,-0.121098
1080,1780,5.2203,-0.114615
1080,1800,4.7273,-0.130544
1100,1060,0.0814,0.001587
1100,1080,0.0989,0.000245
1100,1100,0.125,-0.001475
1100,1120,0.1842,-0.002656
1100,1140,0.2046,-0.004239
1100,1160,0.2722,-0.00571
1100,1180,0.4182,-0.008407
1100,1200,0.4952,-0.01006
1100,1220,0.5698,-0.011452
1100,1240,0.6461,-0.013941
1100,1260,0.7456,-0.017032
1100,1280,0.8331,-0.018384
1100,1300,0.9794,-0.021821
1100,1320,0.9831,-0.024416
1100,1340,1.1327,-0.027228
1100,1360,1.212,-0.029929
1100,1380,1.3289,-0.032948
1100,1400,1.461,-0.03678
1100,1420,1.6667,-0.040871
1100,1440,1.8194,-0.042366
1100,1460,1.8162,-0.045566
1100,1480,2.2656,-0.049368
1100,1500,2.1487,-0.050316
1100,1520,2.2325,-0.052375
1100,1540,2.4767,-0.05608
1100,1560,3.1159,-0.065321
1100,1580,2.876,-0.069048
1100,1600,2.9328,-0.069851
1100,1620,2.842,-0.080871
1100,1640,3.381,-0.084298
1100,1660,3.1828,-0.086786
1100,1680,3.4782,-0.090251
1100,1700,3.8844,-0.099497
1100,1720,4.3256,-0.111788
1100,1740,4.7142,-0.106587
1100,1760,5.1084,-0.121055
1100,1780,5.0956,-0.113982
1100,1800,4.7361,-0.130327
1120,1060,0.1346,0.002597
1120,1080,0.1618,0.001105
1120,1100,0.2284,-0.000107
1120,1120,0.2228,-0.001684
1120,1140,0.2593,-0.003244
1120,1160,0.3329,-0.005056
1120,1180,0.4441,-0.007416
1120,1200,0.5402,-0.008718
1120,1220,0.6249,-0.010897
1120,1240,0.6663,-0.012723
1120,1260,0.7622,-0.015785
